Card,Seller,Price,Shipping,URL
"Azumarill","nerve1818",0.99,0,"https://www.ebay.co.uk/itm/286026647950?_skw=Azumarill+065%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item429884498e:g:pywAAOSwpJFmyRCv"
"Latias","nerve1818",0.99,0,"https://www.ebay.co.uk/itm/286026647950?_skw=Latias+067%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item429884498e:g:pywAAOSwpJFmyRCv"
"Beheeyem","nerve1818",0.99,0,"https://www.ebay.co.uk/itm/286026647950?_skw=Beheeyem+074%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item429884498e:g:pywAAOSwpJFmyRCv"
"Flutter Mane","nerve1818",0.99,0,"https://www.ebay.co.uk/itm/286026647950?_skw=Flutter+Mane+078%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item429884498e:g:pywAAOSwpJFmyRCv"
"Iron Valiant","nerve1818",0.99,0,"https://www.ebay.co.uk/itm/286026647950?_skw=Iron+Valiant+080%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item429884498e:g:pywAAOSwpJFmyRCv"
"Iron Crown ex","pokepeak30",1,1,"https://www.ebay.co.uk/itm/405497638236?_skw=Iron+Crown+ex+081%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item5e698aed5c:g:RNcAAOSwYNdnkpFD"
"Meditite","dragoncardgames_2017",0.99,0.5,"https://www.ebay.co.uk/itm/326062447987?_skw=Meditite+082%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item4bead61d73:g:Ro8AAOSwVull~N32"
"Medicham","nerve1818",0.99,0,"https://www.ebay.co.uk/itm/286026647950?_skw=Medicham+083%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item429884498e:g:pywAAOSwpJFmyRCv"
"Relicanth","ems_2509",0.99,0.85,"https://www.ebay.co.uk/itm/365012355848?_skw=Relicanth+084%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item54fc6e8b08:g:nBAAAOSwtZBmlSnU"
"Golett","nerve1818",0.99,0,"https://www.ebay.co.uk/itm/286026647950?_skw=Golett+087%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item429884498e:g:pywAAOSwpJFmyRCv"
"Mudbray","dragoncardgames_2017",0.99,0.5,"https://www.ebay.co.uk/itm/326062448352?_skw=Mudbray+091%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item4bead61ee0:g:fAwAAOSwvXFl~N4k"
"Mudsdale","myfanwyn123",0.99,0,"https://www.ebay.co.uk/itm/326063277572?_skw=Mudsdale+092%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item4beae2c604:g:6~EAAOSwtDxl~czn"
"Great Tusk","dragoncardgames_2017",0.99,0.5,"https://www.ebay.co.uk/itm/326059840625?_skw=Great+Tusk+096%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item4beaae5471:g:eQEAAOSwut9l-jOe"
"Iron Boulder ex","pokemon-market-uk",0.99,1.65,"https://www.ebay.co.uk/itm/395913617307?_skw=Iron+Boulder+ex+099%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item5c2e4a5f9b:g:9a0AAOSwZ1BnOj8T"
"Ekans","nerve1818",0.99,0,"https://www.ebay.co.uk/itm/286026647950?_skw=Ekans+100%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item429884498e:g:pywAAOSwpJFmyRCv"
"Arbok","dragoncardgames_2017",0.99,0.5,"https://www.ebay.co.uk/itm/326059740541?_skw=Arbok+101%2F162+Temporal+Forces+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item4beaaccd7d:g:XOcAAOSwp5Jl-hkr"
